标题,文本,文件名
重庆10批次酒类抽检不合格,据重庆市食品药品监督管理局2015年9月22日关于91批次食品不合格的通告。2015年4月，重庆市食品药品监督管理局抽检了24类食品2286批次样品，抽检项目合格的样品2195批次，不合格样品91批次。其中抽检酒类160批次，样品检验项目合格的147批次，不合格样品13批次。不合格样品分别为标称酉阳县邓德明白酒加工坊生产的白酒（酿造）、忠县白石镇小灶高粱酒坊生产的白酒、余勇生产的白酒固形物超标；酉阳县张光贤白酒加工坊生产的白酒（酿造）、谢永康生产的白酒（酿造）总酯（以乙酸乙酯计）不达标；酉阳县白太富白酒加工坊生产的白酒（酿造）、谭安红小作坊酒厂生产的白酒（56度）、忠县善广秦蓉酒厂生产的白酒总酸(以乙酸计)不达标；巫溪县云洞酒庄（重庆市云洞酒庄）生产的白酒、李胜堂酒厂生产的白酒、梁金科酒坊生产的白酒酒精度不符合要求；杨松生产的白酒（54度）固形物超标和酒精度不符合要求；易文辉生产的白酒总酸(以乙酸计)不达标、固形物超标和检出不得在该产品中使用的甜味剂糖精钠。,SCFF.INFO(M).MT.054  高级醇1（2015年10月）(1)
山东省食药监局抽检331批次酒 不合格率1.81%,16日，山东省食品药品监督管理局在其官网发布山东省食品安全监督抽检信息通告2015年第8期（总第19期）。据通告，山东省食品药品监督管理局于5月-7月在食品生产环节对食用植物油、酒类、调味品、糖果、茶叶、炒货食品及坚果制品、饼干、糕点、食糖、水产制品、蜂蜜、特殊膳食食品、肉制品、瓶（桶）装饮用水等14大类共1740批次的食品进行了监督抽检。其中抽检项目合格的产品1698批次，不合格产品42批次，合格率97.59%。本次抽检的酒类主要包括白酒、啤酒、葡萄酒及果酒等。抽检依据是GB 2757 食品安全国家标准蒸馏酒及其配制酒、GB 4927 啤酒、GB 15037 葡萄酒、GB 2760 食品安全国家标准食品添加剂使用标准、GB 2762 食品安全国家标准食品中污染物限量等标准及产品明示标准和指标的要求。抽检项目包括：1.白酒：甲醇、糖精钠、酒精度、总酸、总酯、乙酸乙酯、己酸乙酯、固形物、氰化物、甜蜜素、安赛蜜；2.啤酒：甲醛、铅、酒精度、原麦汁浓度、总酸、二氧化碳、双乙酰、蔗糖转化酶活性；3.葡萄酒及果酒：甲醇、铅、酒精度、干浸出物、苯甲酸/苯甲酸钠、山梨酸/山梨酸钾、糖精钠、甜蜜素、苋菜红、胭脂红、二氧化硫。共抽检331批次，不合格6批次，不合格率1.81%。不合格样品所涉及的企业、产品和不合格指标为：标称青岛华裕庄园葡萄酒有限公司生产的赤霞珠干红葡萄酒、标称烟台龙驿庄园葡萄酒有限公司生产的蛇龙珠干红（葡萄酒）、标称烟台蒙巴顿葡萄酒有限公司生产的赤霞珠干红葡萄酒，共3批次样品均为酒精度不合格。标称烟台张孚酿酒有限公司生产的张孚干红葡萄酒、标称菏泽中粮长城葡萄酿酒有限公司生产的红色经典干红葡萄酒，共2批次样品均为干浸出物不合格。标称烟台市醴隆酒厂生产的烟台白亁中总酸不合格。,SCFF.INFO(M).MT.054  高级醇1（2015年10月）(1)
欧盟修订双辛胍胺在部分产品中的最大残留限量,2015年10月24日，据欧盟网站消息，欧盟发布（EU） 2015/1910号委员会条例，双辛胍胺（guazatine）在部分产品中的最大残留限量修订（EC） No 396/2005 号法规附录 III 和 V。具体修订如下：本法规自发布之日起第20天生效，并于2016年 5月13日实施。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
欧盟就灭多威在酿酒葡萄等作物中的现行最大残留限量发布评估结果,2015年10月29日，据欧洲食品安全局消息，根据欧盟法规396/2005号第12条的规定，欧洲食品安全局就灭多威（methomyl）在西红柿、黄瓜等产品中最大残留限量评估结果见附表：,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
美国修订高粱中砜嘧磺隆和烟嘧磺隆的残留限量要求,2015年10月30日，美国环保署发布对砜嘧磺隆（Rimsulfuron）的残留限量要求，本规则于2015年10月30日起生效。美国联邦法规40CFR§180.478中高粱中砜嘧磺隆的残留限量修订为0.01mg/kg。2015年11月4日，美国环保署发布一条最终条例，制定了高粱中烟嘧磺隆（Nicosulfuron）的残留限量：饲用高粱0.3ppm；食用高粱0.8ppm；高粱秸秆0.05 ppm，本条例自2015年11月4日起生效。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
加拿大拟制定甲拌磷等的最大残留限量,2015年11月3日，加拿大分别发布G/SPS/N/CAN/972号和G/SPS/N/CAN/973号通报，就卫生部有害生物管理局提出的PMRL2015-47号和PMRL2015-50号文件中有关国内和/或进口甲拌磷及的最大残留限量值列表进行咨询，以下为甲拌磷和Oxathiapiprolin的最大残留限量值（MRLs）：该限量的评议截止日期分别为2016年1月10日和2016年1月12日，批准日期一般在加拿大卫生部网站提出最大残留限量文件后4至5个月内，生效日期与批准日期相同。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
加拿大拟修订嘧磺草胺在大麦麸皮、高粱等中的最大残留限量,2015年10月27日，据加拿大卫生部消息，加拿大卫生部发布PMRL2015-44至PMRL2015-46号通报，有害生物管理局提议修订苯嘧磺草胺（Saflufenacil）等的最大残留限量。具体如下：,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
加拿大拟修订噻虫胺在小麦等作物中的最大残留限量,2015年10月20日，据加拿大卫生部消息，加拿大卫生部发布PMRL2015-43号通报，有害生物管理局提议修订噻虫胺（Clothianidin）的最大残留限量。具体如下：,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
加拿大拟修订苯菌酮在葡萄、啤酒花中的最大残留限量,2015年10月16日，据加拿大卫生部消息，加拿大卫生部发布PMRL2015-40和PMRL2015-41号通报，有害生物管理局提议修订联苯菊酯（Bifenthrin）和苯菌酮（Metrafenone）的最大残留限量。具体如下：,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
日本政府拟加强酒类地理标志保护机制,2015年10月21日，日本政府基本决定将加强类似烧酒“萨摩”等以著名产地名称作为知识产权的“地理标志”（GI）保护机制。为提高全球人气渐增的烧酒和日本酒的品牌实力，政府将扩大对酒类的GI指定。和现有面向农产品的制度相同，酒类也将新设接受海外异议申诉的制度。日本政府最快于本月内修改《酒业协会法》的标识标准，把此前不属于保护对象的啤酒和梅酒等利口酒加入其中。现有6种酒类已指定产地名。“跨太平洋伙伴关系协定”（TPP）要求参加国完善异议申诉制度，作为GI保护程序的一部分。以日本“神户牛”这一产地品牌为例，若在其他国家被无许可注册，日本的相关团体可以在当地要求取消。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
韩国《进口食品安全管理特别法》明年初正式实施,日前，韩国国会正式通过了《进口食品安全管理特别法》提案，并于明年年初正式实施。这会使韩国对我国出口食品安全管理体系的考察更加频繁，给企业带来额外的费用支出。检验检疫部门提醒，对韩出口企业要尽早了解最新的法律、法规和标准，及早应对，避免贸易受阻，同时加快推进输韩食品企业的转型升级，提早开展“海外优秀制造公司”申报注册。在中韩两国自由贸易协定（FTA）结束实质性谈判背景下，该法案的潜在影响亟待关注。自年初以来，韩国已连续向WTO通报了针对《进口食品安全管理特别法》提案相关的草案及修改草案20余项，其中都与输韩食品企业密切相关，中国是韩国的第二大农产品贸易伙伴和第二大进口来源地，韩国13%的进口农产品来自中国。据了解，《进口食品安全管理特别法》强化了全过程管理理念、入境口岸查验措施以及食品入境后追溯管理。韩国将指定“海外食品卫生评价机关”或派考察团对输韩食品贸易国家管理体系进行实地考察，对所有输韩食品生产企业实行注册制，大幅度强化海外生产企业实地检查工作。对此，检验检疫部门建议：相关政府部门、企业需认真研究《进口食品安全管理特别法》提案的相关内容，密切跟踪韩国针对该提案的相关通报法案，认真开展相关通报对具体产品出口的影响评估分析。同时，加快推进输韩食品企业的转型升级，提升企业产品的附加值，依照“海外优秀制造公司”注册标准，提早开展“海外优秀制造公司”申报注册，更好地保障对韩出口食品质量安全，巩固韩国市场。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
巴西制定葡萄酒中允许使用的食品添加剂和加工工艺法规,巴西于10月16日向WTO通报本国G/TBT/N/BRA/649号通报，制定了葡萄酒用食品添加剂和允许使用的加工工艺，该法规由巴西卫生监督局制定。酸度调节剂、抗氧化剂、防腐剂、稳定剂、澄清剂/消泡剂等十几种。具体列表如下：,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
国标委正式批准发布地理标志产品标准 古井贡酒、五粮液酒第1号修改单,10月20日，国家标准化管理委员会批准GB/T 19327-2007《地理标志产品　古井贡酒》国家标准第1号修改单和GB/T 22211-2008《地理标志产品 五粮液酒》国家标准第1号修改单，上述修改单自2015年10月20日起实施。GB/T 19327-2007《地理标志产品 古井贡酒》第1号修改单（报批稿）一、将表1修改为：表1 感官要求二、将表2修改为：表2 理化指标GB/T 22211-2008《地理标志产品 五粮液酒》第1号修改单（报批稿）一、表2修改为：表1　表2 理化指标二、5.4.3修改为：5.4.3卫生指标卫生指标应符合GB 2757的规定。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
食品中总砷及无机砷的测定、食品接触材料及制品生产通用卫生规范等8项食品安全国家标准 发布,国家卫计委10月23日发布公告（2015年 第7号），发布了《食品安全国家标准食品中总砷及无机砷的测定》（GB 5009.11-2014）等8项食品安全国家标准。其编号和名称如下：GB 5009.11-2014 食品安全国家标准 食品中总砷及无机砷的测定GB 5009.17-2014 食品安全国家标准 食品中总汞及有机汞的测定GB 5009.74-2014 食品安全国家标准 食品添加剂中重金属限量试验GB 5009.75-2014 食品安全国家标准 食品添加剂中铅的测定GB 5009.76-2014 食品安全国家标准 食品添加剂中砷的测定GB 5009.88-2014 食品安全国家标准 食品中膳食纤维的测定GB 5009.211-2014 食品安全国家标准 食品中叶酸的测定GB 31603-2015 食品安全国家标准 食品接触材料及制品生产通用卫生规范下载链接：《食品安全国家标准 食品中总砷及无机砷的测定》（GB 5009.11-2014）等8项食品安全国家标准.zip,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
农业部发布《食品中农药残留风险评估指南》和《食品中农药最大残留限量制定指南》,"2015年10月8日，经第一届国家农药残留标准审评委员会第十二次会议审议通过，农业部发布了《食品中农药残留风险评估指南》和《食品中农药最大残留限量制定指南》。两个指南的全文如下：食品中农药残留风险评估指南为确保农业生产安全、食品（包括食用农产品）质量安全，促进食品公平贸易，依据《中华人民共和国食品安全法》《中华人民共和国农产品质量安全法》《农药管理条例》《农药登记资料规定》，特制定本指南。食品（包括食用农产品）中农药残留风险评估是指通过分析农药毒理学和残留化学试验结果，根据消费者膳食结构，对因膳食摄入农药残留产生健康风险的可能性及程度进行科学评价。本指南用于指导我国食品中农药残留风险评估。一、毒理学评估农药毒理学评估是对农药的危害进行识别，并对其危害特征进行描述。通过评价毒物代谢动力学试验和毒理学试验结果，推荐出每日允许摄入量（ADI）和/或急性参考剂量（ARfD）。（一）毒物代谢动力学评价对农药在实验动物体内的吸收、分布、生物转化过程、排泄和蓄积等进行评价。（二）毒理学评价对农药及其有毒代谢产物的急性毒性、短期毒性、长期毒性、致癌性、致畸性、遗传毒性和生殖毒性等进行评价。（三）推荐每日允许摄入量和急性参考剂量根据毒物代谢动力学和毒理学评价结果，确定未观察到有害作用剂量水平（NOAEL），采用适当的不确定系数，制定每日允许摄入量（ADI）。对于有急性毒性作用的农药，制定急性参考剂量（ARfD）（具体参考《农药每日允许摄入量制定指南》和《农药急性参考剂量制定指南》）。二、残留化学评估残留化学评估是对农药及其有毒代谢物在食品和环境中的残留行为的评价。通过评价动植物代谢试验、田间残留试验、饲喂试验、加工过程和环境行为试验等试验结果，推荐规范残留试验中值（STMR）和最高残留值（HR）。（一）动植物代谢试验和残留物确定参考毒理学评估结果，进行动植物代谢试验，对农药代谢规律、最终产物进行评价，确定残留物。（二）残留行为评价1.残留分析方法。对残留分析方法的有效性进行评价，主要包括正确度和精密度等。2.样品贮藏稳定性。对试验样品贮藏稳定性进行评价；必要时，包括提取、净化后待测试样的贮藏稳定性。3.规范残留试验。对试验设计中的农药使用范围、使用方法、施药剂量、使用次数和安全间隔期、样品采集、运输和预处理及试验结果等进行评价，提出规范残留试验中值（STMR）和最高残留值（HR）。必要时，包括对后茬作物农药残留评价。（三）加工过程评价对食品加工前后农药残留量变化进行评价，计算加工因子。必要时，包括对加工过程中农药性质变化的评价。（四）动物饲喂试验评价对动物饲喂造成动物产品中农药残留结果进行评价，主要处理方式包括饲料、直接给药和外用。三、膳食摄入评估膳食摄入评估是在毒理学和残留化学评估的基础上，根据我国居民膳食消费量，估算农药的膳食摄入量，包括长期和短期膳食摄入。（一）长期膳食摄入评估长期膳食摄入评估是依据国家卫生行政部门发布的中国居民营养与健康状况监测调查，或相关参考资料的数据，结合残留化学评估推荐的规范残留试验中值（STMR），计算国家估算每日摄入量（NEDI）。根据规范残留试验中值（STMR/STMR-P）或最大残留限量（MRL）计算某种农药国家估算每日摄入量（NEDI），计算公式如下：NEDI =∑［STMRi（STMR-Pi）× Fi）］式中：STMRi—农药在某一食品中的规范残留试验中值；STMR-Pi —用加工因子校正的规范残留试验中值；Fi—一般人群某一食品的消费量。计算NEDI时，如果没有合适的STMR或STMR-P，可以使用相应的MRL。（二）短期膳食摄入评估短期膳食摄入评估是依据国家卫生行政部门发布的中国居民营养与健康状况监测调查，或相关参考资料的数据，基于每餐或一日内膳食结构和具体食品特征，结合残留化学评估推荐的规范残留试验中值（STMR）或最高残留值（HR），计算国家估算短期摄入量（NESTI）。四、评估结论根据毒理学、残留化学和膳食摄入评估结果（每日允许摄入量、急性参考剂量、国家估算每日摄入量或国家估算短期摄入量），进行分析评价。一般情况下，当国家估算每日摄入量低于每日允许摄入量，国家估算短期摄入量低于急性参考剂量，则认为基于推荐的最大残留限量值的农药残留不会产生不可接受的健康风险。可向风险管理机构推荐最大残留限量值或风险管理建议。五、术语（一）风险评估 Risk Assessment：是指对人类由于接触危险物质而对健康具有已知或可能的严重不良作用的科学评估。包括危害识别，危害特征描述，暴露评估和风险特征描述。（二）危害 Hazard：食品中潜在的会对人类健康产生不良作用的生物、化学或物理性因素或条件。（三）风险 Risk：是指食品中因存在某种危害而对人类健康或环境产生不良作用的可能性和严重性。（四）残留物 Residue Definition：由于使用农药而在食品、农产品和动物饲料中出现的任何特定物质，包括被认为具有毒理学意义的农药衍生物，如农药转化物，代谢物、反应产物及杂质等。（五）最大残留限量 Maximum Residue Limit（MRL）：是在食品或农产品内部或表面法定允许的农药最大浓度，以每千克食品或农产品中农药残留的毫克数表示（mg/kg）。（六）每日允许摄入量 Acceptable Daily Intake （ADI）：人类终生每日摄入某物质，而不产生可检测到的危害健康的估计量，以每千克体重可摄入的量表示（mg/kg bw）。（七）急性参考剂量 Acute Reference Dose（ARfD）：人类在24小时或更短时间内，通过膳食或饮水摄入某物质，而不产生可检测到的危害健康的估计量，以每千克体重可摄入的量表示（mg/kgbw）。（八）未观察到有害作用剂量水平 No-Observed- Adverse- Effect Level（NOAEL）：在规定的试验条件下，用现有技术手段或检测指标，未能观察到与染毒有关的有害效应的受试物最高剂量或浓度。（九）不确定系数 Uncertainty Factor （UF）：在制定农药每日允许摄入量或急性参考剂量时，存在实验动物数据外推和数据质量等因素引起的不确定性，为了减少上述不确定性，一般将从实验动物毒性试验中得到的数据缩小一定的倍数得出每日允许摄入量或急性参考剂量，这种缩小的倍数即为不确定系数。（十）规范残留试验 Supervised Field Trials：是指在良好农业规范（GAP）和良好实验室规范（GLP）或相似条件下，为获取推荐使用的农药在可食用（或饲用）初级农产品和土壤中可能的最高残留值，以及这些农药在农产品、土壤（或水）中的消解动态而进行的试验。（十一）规范残留试验中值Supervised Trials Median Residue（STMR）：多个登记残留试验组成的数据集的中位数。（十二）最高残留值 Highest Residue（HR）：多个登记残留试验组成的数据集的最大值。（十三）国家估算每日摄入量 National Estimated Daily Intake（NEDI）：是对长期农药残留摄入的估计。它是基于每人每日平均食物消费量和规范残留试验中值计算的，包括食品加工过程中残留变化、其它来源的膳食摄入和有毒理学意义的转化产物。以mg/kg bw为单位。。（十四）国家估算短期摄入量National Estimated Short Term Intake（NESTI）：是对短期农药残留摄入的估计。它是基于每人每日（餐）某种食物摄入量和规范残留试验数据计算的，主要考虑食品可食部分的残留，包括有毒理学意义的转化产物。以mg/kg bw为单位。（十五）农药使用的良好农业规范Good Agricultural Practice （GAP） for pesticide application: 农药使用的良好农业规范是指农药登记批准的农药使用方法、使用范围、使用剂量、使用次数和安全间隔期等。（十六）良好实验室规范Good Laboratory Practice （GLP）:是一种有关非临床人类健康和环境安全试验的设计、实施、查验、记录、归档及报告等的组织过程和条件的质量体系。食品中农药最大残留限量制定指南为保证农药最大残留限量制定科学、规范、合理，依据《中华人民共和国食品安全法》《中华人民共和国农产品质量安全法》《农药管理条例》《农药登记资料规定》，特制定本指南。食品（包括食用农产品）中农药最大残留限量制定是指根据农药使用的良好农业规范（GAP）和规范农药残留试验，推荐农药最大残留水平，参考农药残留风险评估结果，推荐最大残留限量（MRL）。本指南用于指导我国食品中农药最大残留限量的制修订。一、一般程序（一）确定规范残留试验中值（STMR）和最高残留值(HR)按照《农药登记资料规定》和《农药残留试验准则》（NY/T 788）要求，在农药使用的良好农业规范（GAP）条件下进行规范残留试验，根据残留试验结果，确定规范残留试验中值（STMR）和最高残留值(HR)。（二）确定每日允许摄入量（ADI）和/或急性参考剂量（ARfD）根据毒物代谢动力学和毒理学评价结果，制定每日允许摄入量。对于有急性毒性作用的农药，制定急性参考剂量。（三）推荐农药最大残留限量（MRL）根据规范残留试验数据，确定最大残留水平，依据我国膳食消费数据，计算国家估算每日摄入量，或短期膳食摄入量，进行膳食摄入风险评估，推荐食品安全国家标准农药最大残留限量（MRL）。推荐的最大残留限量，低于10mg/kg的保留一位有效数字，高于10mg/kg,低于99mg/kg的保留两位有效数字，高于100mg/kg的用10的倍数表示，最大残留限量通常设置为0.01、0.02、0.03、0.05、0.07、0.1、0.2、0.3、0.5、0.7、1、2、3、5、7、10、15、20、25、30、40和50 mg/kg。依据《用于农药残留限量标准制定的作物分类》，可制定适用于同组作物上的最大残留限量。二、再评估发生以下情况时，应对制定的农药最大残留限量进行再评估：（一）批准农药的良好农业规范（GAP）变化较大时；（二）毒理学研究证明有新的潜在风险时；（三）残留试验数据监测数据显示有新的摄入风险时。（四）农药残留标准审评委员会认定的其他情况。再评估应遵从农药最大残留限量标准制定程序进行。三、周期评估为保证农药最大残留限量的时效性和有效性，实行农药最大残留限量周期评估制度，评估周期为15年，临时限量和再残留限量的评估周期为5年。四、特殊情况（一）临时限量当下述情形发生时，可以制定临时限量标准：1.每日允许摄入量是临时值时；2.没有完善或可靠的膳食数据时；3.没有符合要求的残留检验方法标准时；4.农药或农药/作物组合在我国没有登记，当存在国际贸易和进口检验需求时；5.在紧急情况下，农药被批准在未登记作物上使用时，制定紧急限量标准，并对其适用范围和时间进行限定；6.其他资料不完全满足评估程序要求时。临时限量标准的制定应参照农药最大残留限量标准制定程序进行。当获得新的数据时，应及时进行修订。（二）再残留限量对已经禁止使用且不易降解的农药，因在环境中长期稳定存在而引起在作物上的残留，需要制定再残留限量（EMRL）。再残留限量是通过实施国家监测计划获得的残留数据进行风险评估制修订的。（三）豁免残留限量当存在下述情形时，豁免制定残留限量：1．当农药毒性很低，按照标签规定使用后，食品中农药残留不会对健康产生不可接受风险时；2．当农药的使用仅带来微小的膳食摄入风险时。豁免制定残留限量的农药需要根据具体农药的毒性和使用方法逐个进行风险评估确定。（四）香料/调味品产品中最大残留限量在没有规范残留试验数据的条件下，可以使用监测数据，但需要提供详细的种植和生产情况以及足够的监测数据，制定程序参照农药最大残留限量标准制定。五、术语（一）农药使用的良好农业规范 Good Agricultural Practice（GAP）for pesticide application：农药使用的良好农业规范是指农药登记批准的农药使用方法、使用范围、使用剂量、使用次数和安全间隔期等。（二）规范残留试验Supervised Field Trials：是指在良好农业规范（GAP）和良好实验室规范（GLP）或相似条件下，为获取推荐使用的农药在可食用（或饲用）初级农产品和土壤中可能的最高残留值，以及这些农药在农产品、土壤（或水）中的消解动态而进行的试验。（三）最大残留限量 Maximum Residue Limit（MRL)：是在食品或农产品内部或表面法定允许的农药最大浓度，以每千克食品或农产品中农药残留的毫克数表示（mg/kg）。（四）再残留限量（EMRL）：一些持久性农药虽然已禁用，但还长期存在环境中，从而再次在食品中形成残留，为控制这类农药残留物对食品的污染而制定其在食品中的残留限量，以每千克食品或农产品中农药残留的毫克数表示（mg/kg）。（五）每日允许摄入量 Acceptable Daily Intake(ADI)：人类终生每日摄入某物质，而不产生可检测到的危害健康的估计量，以每千克体重可摄入的量表示（mg/kg bw）。（六）急性参考剂量 Acute Reference Dose (ARfD)：人类在24小时或更短时间内，通过膳食或饮水摄入某物质，而不产生可检测到的危害健康的估计量，以每千克体重可摄入的量表示（mg/kgbw）。（七）风险评估Risk Assessment：是指对人类由于接触危险物质而对健康具有已知或可能的严重不良作用的科学评估。包括危害确认，危害特征描述，暴露评估和风险表述。（八）规范残留试验中值Supervised Trials Median Residue（STMR）：有效残留数据的中间值。（九）最高残留值 Highest Residue（HR）：有效残留数据的最大值。（十）国家估算每日摄入量National Estimated Daily Intake (NEDI)：是对长期农药残留摄入的估计。它是基于每人每日平均食物消费量和规范残留试验中值计算的，包括食品加工过程中残留变化，其它来源的膳食摄入和有毒理学意义的转化产物。以毫克为单位。（十一）国家估算短期摄入量National Estimated Short Term Intake（NESTI）：是对短期农药残留摄入的估计。它是基于每人每日（餐）某种食物摄入量和规范残留试验的最高残留值计算的，主要考虑食品可食部分的残留，包括其它来源的膳食摄入和有毒理学意义的转化产物，以每千克体重的毫克数为单位。（十二）良好实验室规范GoodLaboratory Practice （GLP）:是一种有关非临床人类健康和环境安全试验的设计、实施、查验、记录、归档及报告等的组织过程和条件的质量体系。",SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
食药总局（2015年 第70号）抽检公告，一批次酒类不合格,食药总局10月13日发布（2015年 第70号）抽检公告，抽检粮食及粮食制品、豆及豆制品、蜂产品、酒类等8类食品共512批次样品。合格样品505批次，不合格样品7批次。其中，酒类96批次，不合格样品1批次，占1.04%；酒类不合格样品1批次为得顺泉酒业有限公司生产的野生原汁爽口山葡萄露酒酒精度不达标。本次抽检的酒类主要包括葡萄酒和配制酒。抽检依据《食品安全国家标准 蒸馏酒及其配制酒》（GB 2757-2012）、《食品安全国家标准 发酵酒及其配制酒》（GB 2758-2012）、《食品安全国家标准 食品添加剂使用标准》（GB 2760-2011）、《食品安全国家标准 食品中污染物限量》（GB 2762-2012）、《葡萄酒》（GB 15037-2006）等标准及产品明示标准和指标的要求。抽检项目包括铅等重金属、二氧化硫、氰化物等其他污染物、食品添加剂及品质指标等20个指标，共抽检酒类96批次，覆盖17个生产省份的57家企业。附表：不合格产品信息,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
山东抽检出22批次不合格酒 12批次含违禁甜蜜素,11月4日，山东省食药监局通报新一期食品安全监督抽检结果，通报称：今年8月-9月，省食药监局在食品生产环节对蔬菜制品、水果制品、水产制品、饮料、调味品、食糖、酒类、食品添加剂等10大类2273批次的食品进行了监督抽检。其中抽检项目合格的产品2217批次，不合格产品56批次，合格率97.54%。在不合格产品中，酒类有22批次产品，其中，12个批次产品被检出禁用的甜蜜素。标称夏津县鲁夏酒厂生产的浓香型白酒、标称禹城市大禹酒业有限公司生产的糖城特曲酒、标称山东洛北春集团有限公司生产的十年陈酿、标称山东醉一斗酒业有限公司生产的九粮芝麻香白酒、标称山东绿洲醇食品有限公司生产的绿洲醇浓香型白酒两批次、标称山东沾化金爵酒业有限公司生产的金不倒（白酒）、标称山东省博兴县中天酒业有限公司生产的中天玉液（白酒）、标称山东博山老酒工原酒厂生产的原山人家生态白酒(38%vol)和原山人家世纪经典白酒(38%vol)、标称海阳市地雷战酒厂生产的地雷战酒42%vol 两批次，合计12批次样品均为甜蜜素(以环己基氨基磺酸计)超标；标称威海佳美生物科技有限公司生产的参杞鹿鞭酒2批次均为乙酰磺胺酸钾（安赛蜜）超标；标称济南市长清区长清特酿酒业有限公司生产的长清特酿(42%vol) 中糖精钠超标；标称泰安金泽源酒业有限公司生产的红色恋人高级红酒1批次、精品金伯纳红酒1批次、冰红提子酒（葡萄露酒）1批次，均为酒精度（20℃）不合格；标称泰安金泽源酒业有限公司生产的黄金蓝莓酒中酒精度（20℃）和环己基氨基磺酸钠（甜蜜素）不合格；标称山东圣源酒业有限公司生产的椹果之酷（干型果酒）2批次均为二氧化硫超标；标称苍山县庄户坊酒业有限公司生产的老庄户酒中氰化物（以HCN计）超标。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
山西：15批次食品不合格 涉酒类8批次,11月3日，山西省食品药品监督管理局公布今年第17期食品安全监督抽检信息。本期公布175批次监督抽检结果，涉及酒类、饮料、焙烤食品、食用植物油、乳制品和调味品等6大类。不合格15批次。涉及酒类、饮料、焙烤食品。其中，酒类不合格8批次。分别是：山西杏花古井酒业股份有限公司生产的杏井竹酒、汾阳市杏亨老酒坊酒业有限公司生产的杏亨竹酒（露酒）、山西金杏花酒业有限公司生产的鸿运福露酒、山西杏牧酒业有限公司生产的山楂枸杞露酒和山西杏花汾瓷酒业有限公司生产的杏牧品鉴露酒中酒精度低于明示值；运城市润达医疗养生保健有限公司生产的关神酒、山西红粮王酒业有限公司生产的枸杞露酒和山西金源酒业有限公司生产的精品定阳酒（配制酒）中酒精度高于明示值。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
上海市食药监局检酒类样品52批次 不合格2批次,4日，上海市食品药品监督管理局在其官网通报2015年8月酒类监督抽检信息，共抽检酒类样品52批次，发现不合格样品2批次，样品不合格率为3.85%。本次抽检的酒类主要包括白酒、黄酒等。抽检依据是《食品安全国家标准蒸馏酒及其配制酒》（GB2757）、《食品安全国家标准发酵酒及其配制酒》（GB2758-2012）、《食品安全国家标准食品添加剂使用标准》（GB2760-2014）、《食品安全国家标准食品中污染物限量》（GB2762-2012）、《黄酒》（GB/T13662-2008）等标准及产品明示标准和指标的要求。抽检项目包括重金属、污染物、食品添加剂及品质指标等13个指标。据通报，2批次样品氨基酸态氮项目不合格，包括标称浙江古泉酿酒有限公司生产的美雕绍兴加饭酒（12.0%vol500mL/瓶20141217）、标称湖州浙一家酒业有限公司生产的上海老酒浙一家黄酒（11.0%vol500mL/瓶2014-3-26）。上海市食品药品监管部门已依法对不合格食品采取下架、召回措施，并对生产经营不合格食品的企业进行立案查处。表1.酒类监督抽检产品不合格信息,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
黑龙江： “纯粮烧白酒”等2批次白酒检出禁用甜蜜素,近日，该局公布了2015年第16期食品安全监督抽检情况。据了解，本次抽检涉及粮食及粮食制品、食用油及其制品和酒类等3大类食品，共117批次。其中，鹤岗市绥滨县二职白酒厂生产的“纯粮烧白酒”和“家有喜事白酒”等2批次食品抽检不合格，不合格项目均为检出禁用“环己基氨基磺酸钠”（甜蜜素）。,SCFF.INFO(M).MT.055 高级醇2（2015年11月）(1)
